E_nominal_m,removed_area_m2,geometry_match,dry_R_body_rms_mm,dry_R_body_p95_mm,dry_body_pressure_mean_kpa,dry_body_saturation_mean,dry_epsp_body_max,dry_body_plastic_area_gt_1e4_m2,reference_R_body_rms_mm,reference_R_body_p95_mm,reference_body_pressure_mean_kpa,reference_body_saturation_mean,reference_epsp_body_max,reference_body_plastic_area_gt_1e4_m2,wet_R_body_rms_mm,wet_R_body_p95_mm,wet_body_pressure_mean_kpa,wet_body_saturation_mean,wet_epsp_body_max,wet_body_plastic_area_gt_1e4_m2,wet_minus_ref_Rrms_mm,dry_minus_ref_Rrms_mm,wet_over_ref_Rrms,dry_over_ref_Rrms,wet_minus_ref_Rp95_mm,dry_minus_ref_Rp95_mm
0.05,0.0040571428571428945,1,0.0038489112406949826,0.007548070371112059,-99.02128071297763,0.8827013914756774,0.0,0.0,0.0030401849929727457,0.005980906862445302,-95.53434524668779,0.8864870077691079,0.0,0.0,0.00039409397412603817,0.0008433870210231074,-75.61585749037188,0.9105442104262542,0.0,0.0,-0.0026460910188467078,0.0008087262477222369,0.1296282874354584,1.266012183334755,-0.005137519841422194,0.001567163508666757
0.15,0.012399999999999814,1,0.0038489050276434757,0.007548082490394084,-99.02128320765927,0.8827013887653109,0.0,0.0,0.0030401794494802977,0.005980897189840609,-95.5343452091282,0.88648700781942,0.0,0.0,0.00039406540801301506,0.0008432613572027019,-75.61584134042776,0.9105442300304801,0.0,0.0,-0.0026461140414672825,0.0008087255781631781,0.12961912760787145,1.2660124481472386,-0.005137635832637907,0.001567185300553475
0.25,0.02525714285714237,1,0.012745158151414936,0.02632566286009955,-99.0201260740927,0.8827025864969223,0.0,0.0,0.010204730617587468,0.021224917141034912,-95.53348044959093,0.8864879517957361,0.0,0.0,0.0014790904573169705,0.003211820567592162,-75.61591397644833,0.910544176962424,0.0,0.0,-0.008725640160270498,0.002540427533827468,0.14494164645246138,1.248946065215003,-0.01801309657344275,0.005100745719064638
