E_m,refP_refS_Rrms_mm,refP_refS_R95_mm,refP_refS_Arem_m2,dryP_refS_Rrms_mm,dryP_refS_R95_mm,dryP_refS_Arem_m2,wetP_refS_Rrms_mm,wetP_refS_R95_mm,wetP_refS_Arem_m2,refP_dryS_Rrms_mm,refP_dryS_R95_mm,refP_dryS_Arem_m2,refP_wetS_Rrms_mm,refP_wetS_R95_mm,refP_wetS_Arem_m2
0.05,0.0030401849929727457,0.005980906862445302,0.0040571428571428945,0.0038630580423069686,0.007575633752108373,0.0040571428571428945,0.0003677770517783205,0.0007864987812788332,0.0040571428571428945,0.0030266157943055795,0.005954270159596662,0.0040571428571428945,0.003101659458125739,0.006101346727640531,0.0040571428571428945
0.15,0.0030401794494802977,0.005980897189840609,0.012399999999999814,0.0038630082369195116,0.007575586928678694,0.012399999999999814,0.0003684376531500564,0.0007875404804302917,0.012399999999999814,0.0030266749311708466,0.005954343184572402,0.012399999999999814,0.0031014429664590996,0.006101058027317218,0.012399999999999814
0.25,0.010204730617587468,0.021224917141034912,0.02525714285714237,0.012710593166695565,0.02626034205534712,0.02525714285714237,0.0015898466972470884,0.0033104095881416394,0.02525714285714237,0.010232188346004058,0.02128374437813299,0.02525714285714237,0.01007859154148317,0.020954276723286164,0.02525714285714237
