E_m,case,signal_Rrms_mm,drift_18_19_mm,drift_19_20_mm,noise_floor_mm,signal_to_drift,classification
0.05,refP_refS,0.0030401849929727457,3.014019866290267e-09,3.0142442390625392e-09,3.0142442390625392e-09,1008606.0557316598,VERY CLEAN
0.05,dryP_refS,0.0038630580423069686,7.565861143951612e-09,7.565160462477572e-09,7.565861143951612e-09,510590.6609712523,VERY CLEAN
0.05,wetP_refS,0.0003677770517783205,1.1988679642097402e-07,1.1985375095629284e-07,1.1988679642097402e-07,3067.702722549174,VERY CLEAN
0.15,refP_refS,0.0030401794494802977,3.014019866290267e-09,3.0142442390625392e-09,3.0142442390625392e-09,1008604.2166330306,VERY CLEAN
0.15,dryP_refS,0.0038630082369195116,7.565861143951612e-09,7.565160462477572e-09,7.565861143951612e-09,510584.078060661,VERY CLEAN
0.15,wetP_refS,0.0003684376531500564,1.1988679642097402e-07,1.1985375095629284e-07,1.1988679642097402e-07,3073.2129321090006,VERY CLEAN
0.25,refP_refS,0.010204730617587468,3.014019866290267e-09,3.0142442390625392e-09,3.0142442390625392e-09,3385502.2381203067,VERY CLEAN
0.25,dryP_refS,0.012710593166695565,7.565861143951612e-09,7.565160462477572e-09,7.565861143951612e-09,1679992.9214742216,VERY CLEAN
0.25,wetP_refS,0.0015898466972470884,1.1988679642097402e-07,1.1985375095629284e-07,1.1988679642097402e-07,13261.232635364231,VERY CLEAN
